지역,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
종로구,163310,167850,171501,185355,231857,222583,226101,217339,220008,229518,232929,240175.80
중구,104768,115058,123028,131881,151561,159049,188679,213306,215479,215777,221084,221784.10
용산구,171133,174317,388,185602,240446,313532,334853,350479,350433,359054,361040,362964.86
성동구,240249,243527,247724,252187,475035,261203,268736,273081,284970,286675,282616,288186.60
광진구,129858,160178,183154,201802,519302,250459,264702,269395,271344,271544,275476,280985.60
동대문구,68481,179553,183647,199875,228919,375889,382769,394523,397604,392391,402895,408466.18
중랑구,136097,143295,319021,323833,356706,377629,438976,443241,445321,446720,530884,529493.62
성북구,138918,160123,167802,172136,229868,276244,287374,300683,302482,305156,308693,309386.90
강북구,52723,53563,54403,58727,75320,107915,121438,128992,121364,124703,126871,127084.37
도봉구,108280,123608,128519,151298,152823,201484,205340,214745,224332,234662,237783,238526.55
노원구,347644,375822,377003,402945,506066,621111,643467,655086,660311,667061,674034,564370.55
은평구,110799,115360,,169412,175395,243166,261298,263992,312203,355005,358043,358642.80
서대문구,157331,158131,151533,164186,554492,187894,225515,229366,233154,233714,232654,562430.40
마포구,788540,792778,794754,795648,1014000,931842,954814,951274,952740,950862,1000975,901332.48
양천구,306750,323828,327085,338822,417053,438238,462845,464940,466410,467660,477577,470671
강서구,561401,565719,565989,557744,640580,1128518,1105668,1168405,1171817,1173988,1180504,1191020.90
구로구,190880,220349,213312,208589,300282,352335,374718,440876,418762,500835,524608,476816.70
금천구,211525,212192,212762,212762,234870,247744,258536,272381,272847,275910,287135,299741.54
영등포구,517487,518202,543556,572859,606799,652852,685646,690699,695815,697359,694362,719086.51
동작구,174976,176416,184048,183798,258661,207429,218839,220515,227078,228559,238520,265778.60
관악구,113070,113985,115675,104601,164394,143831,156582,159643,160134,161121,163271,168179.65
서초구,762522,767131,768567,829048,1362720,1142092,1228875,1228874,1232316,1235020,1233879,1285945.30
강남구,426034,426669,1074570,1092483,1538490,1243691,1258435,1261571,1264422,1301611,1305219,1381225.18
송파구,640108,610088,610575,626629,764689,834900,878813,890181,882942,889022,890957,901350.45
강동구,211212,216779,219558,223335,291521,373536,391252,454622,523559,525789,526442,519788.20
중부푸른도시사업소,,6010,,6010,6010,6010,6260,27202,30985,31045,31045,31500
도시안전본부,1351048,1587584,,1587584,1587584,1587584,1587584,1587584,1587584,1587584,1587584,1564964
