"상권별(1)",상권별(2),2013 1/4,2013 2/4,2013 3/4,2013 4/4,2014 1/4,2014 2/4,2014 3/4,2014 4/4,2015 1/4,2015 2/4,2015 3/4,2015 4/4,2016 1/4,2016 2/4,2016 3/4,2016 4/4
"서울",광화문,1.0,3.6,1.7,2.7,2.7,2.6,2.3,2.3,1.3,1.5,1.3,1.3,2.2,2.9,2.1,2.1
"서울",동대문,5.8,7.1,5.9,8.1,6.6,10.0,11.2,13.1,13.1,15.5,15.7,12.9,12.1,11.1,10.3,10.4
"서울",명동,7.1,6.9,6.9,6.4,6.4,6.9,6.4,6.4,5.7,5.7,5.6,10.4,9.9,11.2,8.0,5.1
"서울",서울역,5.4,5.2,5.5,5.1,4.7,8.5,11.4,10.0,7.8,6.9,6.9,7.3,11.1,11.1,10.9,10.9
"서울",종로,8.5,9.7,8.9,8.4,8.2,10.5,8.8,11.6,10.7,10.0,9.8,9.8,9.8,9.8,9.8,10.2
"서울",충무로,9.1,5.5,5.5,5.5,4.7,7.3,4.0,4.8,3.3,3.3,3.3,7.8,8.4,5.1,5.1,5.1
"서울",강남대로,4.3,4.8,2.6,5.6,5.6,5.1,3.9,3.8,3.9,3.9,3.7,4.2,4.7,6.5,6.0,4.9
"서울",도산대로,5.7,8.4,7.1,8.8,8.8,8.3,3.8,5.1,3.9,7.7,7.7,10.9,7.7,6.9,4.2,2.5
"서울",서초,18.8,17.1,12.5,9.5,9.5,6.4,5.1,9.2,10.5,8.2,3.3,3.4,6.8,5.3,5.3,3.6
"서울",신사,7.9,5.7,6.5,7.5,7.2,9.6,8.7,9.1,9.4,9.3,8.7,9.7,10.3,10.1,10.9,10.2
"서울",압구정,3.1,3.9,5.1,6.8,9.9,7.4,7.4,7.7,7.5,8.6,9.1,7.6,6.6,6.5,6.5,5.9
"서울",청담,2.0,1.4,3.7,7.4,7.4,10.6,4.5,4.5,6.9,6.9,11.0,11.0,11.0,11.0,11.0,11.4
"서울",테헤란로,14.4,15.1,16.3,17.7,21.8,5.3,5.3,6.0,9.9,9.7,7.4,12.4,8.4,6.4,8.9,8.9
"서울",공덕역,5.3,4.2,4.2,4.2,4.2,4.2,4.2,4.8,4.8,6.7,10.9,10.9,10.9,10.9,6.1,6.1
"서울",신촌,5.1,3.3,5.5,5.5,9.9,7.7,8.3,7.5,8.2,8.9,8.9,6.4,6.0,7.9,6.3,5.5
"서울",홍대합정,7.7,0.6,3.3,1.8,3.0,7.7,5.5,5.5,7.0,7.5,8.2,4.3,5.1,5.9,12.7,12.7
"서울",건대입구,4.4,5.7,4.8,4.8,5.3,4.6,4.1,4.1,7.2,5.7,5.4,3.8,4.1,1.3,3.1,3.4
"서울",경희대,2.8,2.8,5.7,3.5,2.8,2.6,2.8,4.4,3.1,1.8,1.3,1.3,1.8,0.4,0.4,0.4
"서울",군자,5.1,5.1,7.5,8.6,7.5,7.5,8.8,12.0,8.9,6.6,6.6,6.0,3.1,3.1,4.7,7.6
"서울",목동,4.4,2.3,4.7,3.6,3.6,5.0,2.3,2.8,3.2,3.2,2.3,2.0,4.0,6.1,11.2,7.6
"서울",사당,1.0,3.6,1.5,2.1,1.6,1.5,3.0,1.1,0.8,1.9,1.9,0.7,3.7,2.1,1.6,3.5
"서울",성신여대,2.9,2.6,4.5,5.1,9.0,9.5,6.4,6.6,8.6,8.6,9.8,7.5,10.2,13.4,12.9,10.6
"서울",수유,4.6,6.6,7.0,8.0,7.4,6.8,6.2,6.5,6.6,16.0,17.2,18.7,16.1,14.8,12.3,13.8
"서울",신림,4.3,4.3,4.1,3.4,7.6,8.0,4.5,4.5,4.5,5.6,5.6,5.9,6.9,6.8,5.6,5.9
"서울",영등포,7.0,6.6,8.9,8.7,9.4,12.7,11.9,10.6,10.2,8.3,9.0,8.7,11.9,9.3,11.3,12.4
"서울",용산,3.6,4.7,13.5,11.7,11.1,9.4,12.3,7.1,6.9,7.3,7.0,6.2,6.6,7.5,7.6,8.5
"서울",이태원,3.3,3.3,3.3,9.4,9.4,9.8,9.8,9.1,8.9,9.2,10.0,10.4,13.5,12.6,12.6,16.7
"서울",잠실,9.2,8.9,8.4,7.2,10.7,10.1,9.2,9.2,6.8,5.3,6.3,8.2,6.6,7.4,7.0,6.8
"서울",장안동,3.9,3.9,3.9,2.6,2.6,2.6,2.6,2.6,3.9,3.9,4.8,4.8,4.8,6.7,7.0,6.7
"서울",천호,3.6,3.3,4.6,6.1,5.9,4.0,3.3,3.4,4.9,3.8,3.8,3.8,4.0,4.0,4.0,4.0
"서울",청량리,7.4,7.9,7.6,7.0,7.9,6.7,8.1,8.1,8.1,9.2,9.5,9.3,8.7,8.2,8.1,8.1
"서울",혜화동,3.6,3.6,3.4,1.9,1.9,3.0,3.1,3.1,2.0,4.6,4.7,3.7,2.8,5.0,5.3,5.3
"서울",화곡,16.4,12.3,13.3,18.5,19.2,18.4,17.9,17.9,11.7,19.8,19.8,21.6,18.9,18.9,15.8,15.8
